raw_transaction,upi_id,amount,transaction_type,recipient_type,category,bank,recipient_name,merchant_info
INR 500 debited to swiggy.75839@okicici for dinner,INR 500 debited to swiggy.75839@okicici,500,debit,merchant,food,okicici,swiggy,"[{'title': 'Swiggy - Wikipedia', 'snippet': 'Swiggy is an Indian online food ordering and delivery company. Founded in 2014, Swiggy is headquartered in Bangalore and operates in more than 580 Indian ...'}, {'title': 'Business Model Of Swiggy | How Swiggy works & Make Money', 'snippet': 'Swiggy started in August 2014 as an online food ordering and delivery startup. Today, it has over 5,000,000 mobile app installations and is a ...'}]"
INR 1000 credited from yash.gupta123@hdfc salary,INR 1000 credited from yash.gupta123@hdfc,1000,credit,individual,utilities,hdfc,yash.gupta123,
INR 200 debited to 9876543210@paytm for groceries,INR 200 debited to 9876543210@paytm,200,debit,merchant,shopping,"paytm, hdfc, icici, sbi, axis, okicici, okhdfc, oksbi, okaxis",paytm,"[{'title': 'Our Business - Paytm IR', 'snippet': 'Our Core Business is to Acquire Payment Customers and Distribute Loans. Paytm offers a full suite of payment services for both consumers and merchants. The ...'}, {'title': 'Paytm for Business', 'snippet': 'Business type. Select Business type. This field is mandatory *. Private Limited Company; Public Limited Company; Proprietorship; Partnership/LLP; Trust/Society ...'}]"
INR 500 debited to swiggy.75839@okicici for dinner,INR 500 debited to swiggy.75839@okicici,500,debit,merchant,food,okicici,swiggy,"[{'title': 'Business Model Of Swiggy | How Swiggy works & Make Money', 'snippet': 'Swiggy business model is based on the hyperlocal on-demand food delivery business operation, intending to deliver food within 30 minutes. Swiggy ...'}, {'title': 'Swiggy - Company Profile - Tracxn', 'snippet': 'Swiggy serves in the B2C space in the Transportation and Logistics Tech, Food and Agriculture Tech market segments. The primary business model of Swiggy are ...'}]"
INR 1000 credited from yash.gupta123@hdfc salary,INR 1000 credited from yash.gupta123@hdfc,1000,credit,individual,utilities,hdfc,yash.gupta123,
INR 200 debited to 9876543210@paytm for groceries,INR 200 debited to 9876543210@paytm,200,debit,merchant,shopping,paytm,paytm,"[{'title': 'Paytm - Wikipedia', 'snippet': 'Paytm is an Indian multinational financial technology company, that specializes in digital payments and financial services, based in Noida, India. Paytm was ...'}, {'title': 'Our Business - Paytm IR', 'snippet': 'Our Core Business is to Acquire Payment Customers and Distribute Loans. Paytm offers a full suite of payment services for both consumers and merchants. The ...'}]"
"Brother - [09:15:34 30-12-2022] INR 3866 debited to mart.594@okicici
",Brother - [09:15:34 30-12-2022] INR 3866 debited to mart.594@okicici,-3866.0,debit,individual,other,unknown,brother - [09:15:34 30-12-2022] inr 3866 debited to mart.594@okicici,Brother,
"Brother - [12:46:05 30-12-2022] INR 508 credited from vendor.641@okaxis
",Brother - [12:46:05 30-12-2022] INR 508 credited from vendor.641@okaxis,508.0,credit,individual,shopping,unknown,brother - [12:46:05 30-12-2022] inr 508 credited from vendor.641@okaxis,Brother,
"Brother - [00:47:23 31-12-2022] INR 492 credited from vendor.149@paytm
",Brother - [00:47:23 31-12-2022] INR 492 credited from vendor.149@paytm,492.0,credit,merchant,shopping,unknown,brother - [00:47:23 31-12-2022] inr 492 credited from vendor.149@paytm,Brother,
"Brother - [00:16:27 01-01-2023] INR 740 debited to shop.869@okaxis
",Brother - [00:16:27 01-01-2023] INR 740 debited to shop.869@okaxis,-740.0,debit,merchant,shopping,unknown,brother - [00:16:27 01-01-2023] inr 740 debited to shop.869@okaxis,Brother,
"Brother - [07:08:21 01-01-2023] INR 1008 debited to mart.156@okhdfc
",Brother - [07:08:21 01-01-2023] INR 1008 debited to mart.156@okhdfc,-1008.0,debit,individual,entertainment,unknown,brother - [07:08:21 01-01-2023] inr 1008 debited to mart.156@okhdfc,Brother,
"Brother - [12:29:31 01-01-2023] INR 792 debited to vendor.968@oksbi
",Brother - [12:29:31 01-01-2023] INR 792 debited to vendor.968@oksbi,-792.0,debit,individual,shopping,unknown,brother - [12:29:31 01-01-2023] inr 792 debited to vendor.968@oksbi,Brother,
"Brother - [16:19:43 03-01-2023] INR 14490 credited from retail.737@okhdfc
",Brother - [16:19:43 03-01-2023] INR 14490 credited from retail.737@okhdfc,14490.0,credit,individual,shopping,unknown,brother - [16:19:43 03-01-2023] inr 14490 credited from retail.737@okhdfc,Brother,
"Brother - [18:11:40 03-01-2023] INR 4234 credited from mart.594@okicici
",Brother - [18:11:40 03-01-2023] INR 4234 credited from mart.594@okicici,4234.0,credit,individual,shopping,unknown,brother - [18:11:40 03-01-2023] inr 4234 credited from mart.594@okicici,Brother,
"Brother - [23:17:09 03-01-2023] INR 495 credited from vendor.149@paytm
",Brother - [23:17:09 03-01-2023] INR 495 credited from vendor.149@paytm,495.0,credit,merchant,shopping,unknown,brother - [23:17:09 03-01-2023] inr 495 credited from vendor.149@paytm,Brother,
"Brother - [22:15:01 04-01-2023] INR 2774 credited from vendor.753@okhdfc
",Brother - [22:15:01 04-01-2023] INR 2774 credited from vendor.753@okhdfc,2774.0,credit,merchant,shopping,unknown,brother - [22:15:01 04-01-2023] inr 2774 credited from vendor.753@okhdfc,Brother,
"Brother - [17:55:20 11-01-2023] INR 1024 credited from shop.861@okicici
",Brother - [17:55:20 11-01-2023] INR 1024 credited from shop.861@okicici,1024.0,credit,merchant,shopping,unknown,brother - [17:55:20 11-01-2023] inr 1024 credited from shop.861@okicici,Brother,
"Brother - [20:49:55 11-01-2023] INR 1118 credited from vendor.435@okhdfc
",Brother - [20:49:55 11-01-2023] INR 1118 credited from vendor.435@okhdfc,1118.0,credit,merchant,shopping,unknown,brother - [20:49:55 11-01-2023] inr 1118 credited from vendor.435@okhdfc,Brother,
"Brother - [00:13:07 12-01-2023] INR 1154 debited to seller.113@okhdfc
",Brother - [00:13:07 12-01-2023] INR 1154 debited to seller.113@okhdfc,-1154.0,debit,individual,shopping,unknown,brother - [00:13:07 12-01-2023] inr 1154 debited to seller.113@okhdfc,Brother,
"Brother - [05:30:52 14-01-2023] INR 1149 debited to vendor.435@okhdfc
",Brother - [05:30:52 14-01-2023] INR 1149 debited to vendor.435@okhdfc,-1149.0,debit,merchant,shopping,unknown,brother - [05:30:52 14-01-2023] inr 1149 debited to vendor.435@okhdfc,Brother,
"Brother - [10:08:37 17-01-2023] INR 615 debited to mart.328@paytm
",Brother - [10:08:37 17-01-2023] INR 615 debited to mart.328@paytm,-615.0,debit,individual,entertainment,unknown,brother - [10:08:37 17-01-2023] inr 615 debited to mart.328@paytm,Brother,
"Brother - [22:33:29 17-01-2023] INR 632 debited to retail.239@paytm
",Brother - [22:33:29 17-01-2023] INR 632 debited to retail.239@paytm,-632.0,debit,merchant,shopping,unknown,brother - [22:33:29 17-01-2023] inr 632 debited to retail.239@paytm,Brother,
"Brother - [06:06:42 19-01-2023] INR 540 debited to mart.100@okaxis
",Brother - [06:06:42 19-01-2023] INR 540 debited to mart.100@okaxis,-540.0,debit,individual,entertainment,unknown,brother - [06:06:42 19-01-2023] inr 540 debited to mart.100@okaxis,Brother,
"Brother - [22:15:40 24-01-2023] INR 902 debited to mart.518@oksbi
",Brother - [22:15:40 24-01-2023] INR 902 debited to mart.518@oksbi,-902.0,debit,individual,other,unknown,brother - [22:15:40 24-01-2023] inr 902 debited to mart.518@oksbi,Brother,
"Brother - [07:36:25 27-01-2023] INR 1167 debited to shop.861@okicici
",Brother - [07:36:25 27-01-2023] INR 1167 debited to shop.861@okicici,-1167.0,debit,merchant,shopping,unknown,brother - [07:36:25 27-01-2023] inr 1167 debited to shop.861@okicici,Brother,
"Brother - [14:10:25 30-01-2023] INR 4114 debited to vendor.753@okhdfc
",Brother - [14:10:25 30-01-2023] INR 4114 debited to vendor.753@okhdfc,-4114.0,debit,merchant,shopping,unknown,brother - [14:10:25 30-01-2023] inr 4114 debited to vendor.753@okhdfc,Brother,
"Brother - [02:03:21 31-01-2023] INR 680 debited to shop.869@okaxis
",Brother - [02:03:21 31-01-2023] INR 680 debited to shop.869@okaxis,-680.0,debit,merchant,shopping,unknown,brother - [02:03:21 31-01-2023] inr 680 debited to shop.869@okaxis,Brother,
"Brother - [07:59:34 31-01-2023] INR 762 debited to vendor.968@oksbi
",Brother - [07:59:34 31-01-2023] INR 762 debited to vendor.968@oksbi,-762.0,debit,individual,shopping,unknown,brother - [07:59:34 31-01-2023] inr 762 debited to vendor.968@oksbi,Brother,
"Brother - [20:22:47 31-01-2023] INR 875 debited to mart.156@okhdfc
",Brother - [20:22:47 31-01-2023] INR 875 debited to mart.156@okhdfc,-875.0,debit,individual,other,unknown,brother - [20:22:47 31-01-2023] inr 875 debited to mart.156@okhdfc,Brother,
"Brother - [00:50:29 02-03-2023] INR 674 debited to vendor.968@oksbi
",Brother - [00:50:29 02-03-2023] INR 674 debited to vendor.968@oksbi,-674.0,debit,individual,shopping,unknown,brother - [00:50:29 02-03-2023] inr 674 debited to vendor.968@oksbi,Brother,
"Brother - [08:22:16 02-03-2023] INR 1023 debited to mart.156@okhdfc
",Brother - [08:22:16 02-03-2023] INR 1023 debited to mart.156@okhdfc,-1023.0,debit,individual,other,unknown,brother - [08:22:16 02-03-2023] inr 1023 debited to mart.156@okhdfc,Brother,
"Brother - [12:17:22 02-03-2023] INR 506 debited to shop.869@okaxis
",Brother - [12:17:22 02-03-2023] INR 506 debited to shop.869@okaxis,-506.0,debit,merchant,shopping,unknown,brother - [12:17:22 02-03-2023] inr 506 debited to shop.869@okaxis,Brother,
"Brother - [00:28:37 01-04-2023] INR 902 debited to shop.869@okaxis
",Brother - [00:28:37 01-04-2023] INR 902 debited to shop.869@okaxis,-902.0,debit,merchant,shopping,unknown,brother - [00:28:37 01-04-2023] inr 902 debited to shop.869@okaxis,Brother,
"Brother - [10:24:59 01-04-2023] INR 934 debited to mart.156@okhdfc
",Brother - [10:24:59 01-04-2023] INR 934 debited to mart.156@okhdfc,-934.0,debit,individual,other,unknown,brother - [10:24:59 01-04-2023] inr 934 debited to mart.156@okhdfc,Brother,
"Brother - [15:13:49 01-04-2023] INR 545 debited to vendor.968@oksbi
",Brother - [15:13:49 01-04-2023] INR 545 debited to vendor.968@oksbi,-545.0,debit,individual,shopping,unknown,brother - [15:13:49 01-04-2023] inr 545 debited to vendor.968@oksbi,Brother,
"Brother - [19:35:54 01-05-2023] INR 610 debited to vendor.968@oksbi
",Brother - [19:35:54 01-05-2023] INR 610 debited to vendor.968@oksbi,-610.0,debit,merchant,shopping,unknown,brother - [19:35:54 01-05-2023] inr 610 debited to vendor.968@oksbi,Brother,
"Brother - [21:47:48 01-05-2023] INR 939 debited to mart.156@okhdfc
",Brother - [21:47:48 01-05-2023] INR 939 debited to mart.156@okhdfc,-939.0,debit,individual,entertainment,unknown,brother - [21:47:48 01-05-2023] inr 939 debited to mart.156@okhdfc,Brother,
"Brother - [23:07:14 01-05-2023] INR 699 debited to shop.869@okaxis
",Brother - [23:07:14 01-05-2023] INR 699 debited to shop.869@okaxis,-699.0,debit,merchant,shopping,unknown,brother - [23:07:14 01-05-2023] inr 699 debited to shop.869@okaxis,Brother,
"Brother - [14:24:21 31-05-2023] INR 906 debited to vendor.968@oksbi
",Brother - [14:24:21 31-05-2023] INR 906 debited to vendor.968@oksbi,-906.0,debit,individual,shopping,unknown,brother - [14:24:21 31-05-2023] inr 906 debited to vendor.968@oksbi,Brother,
"Brother - [18:07:15 31-05-2023] INR 1106 debited to mart.156@okhdfc
",Brother - [18:07:15 31-05-2023] INR 1106 debited to mart.156@okhdfc,-1106.0,debit,individual,shopping,unknown,brother - [18:07:15 31-05-2023] inr 1106 debited to mart.156@okhdfc,Brother,
"Brother - [23:10:38 31-05-2023] INR 788 debited to shop.869@okaxis
",Brother - [23:10:38 31-05-2023] INR 788 debited to shop.869@okaxis,-788.0,debit,merchant,shopping,unknown,brother - [23:10:38 31-05-2023] inr 788 debited to shop.869@okaxis,Brother,
"Brother - [13:57:53 30-06-2023] INR 734 debited to vendor.968@oksbi
",Brother - [13:57:53 30-06-2023] INR 734 debited to vendor.968@oksbi,-734.0,debit,individual,shopping,unknown,brother - [13:57:53 30-06-2023] inr 734 debited to vendor.968@oksbi,Brother,
"Brother - [20:58:39 30-06-2023] INR 875 debited to mart.156@okhdfc
",Brother - [20:58:39 30-06-2023] INR 875 debited to mart.156@okhdfc,-875.0,debit,individual,shopping,unknown,brother - [20:58:39 30-06-2023] inr 875 debited to mart.156@okhdfc,Brother,
"Brother - [22:00:42 30-06-2023] INR 730 debited to shop.869@okaxis
",Brother - [22:00:42 30-06-2023] INR 730 debited to shop.869@okaxis,-730.0,debit,merchant,shopping,unknown,brother - [22:00:42 30-06-2023] inr 730 debited to shop.869@okaxis,Brother,
"Brother - [06:09:32 30-07-2023] INR 738 debited to shop.869@okaxis
",Brother - [06:09:32 30-07-2023] INR 738 debited to shop.869@okaxis,-738.0,debit,merchant,shopping,unknown,brother - [06:09:32 30-07-2023] inr 738 debited to shop.869@okaxis,Brother,
"Brother - [07:19:26 30-07-2023] INR 931 debited to vendor.968@oksbi
",Brother - [07:19:26 30-07-2023] INR 931 debited to vendor.968@oksbi,-931.0,debit,individual,shopping,unknown,brother - [07:19:26 30-07-2023] inr 931 debited to vendor.968@oksbi,Brother,
"Brother - [14:20:08 30-07-2023] INR 943 debited to mart.156@okhdfc
",Brother - [14:20:08 30-07-2023] INR 943 debited to mart.156@okhdfc,-943.0,debit,individual,shopping,unknown,brother - [14:20:08 30-07-2023] inr 943 debited to mart.156@okhdfc,Brother,
"Brother - [03:30:05 29-08-2023] INR 921 debited to vendor.968@oksbi
",Brother - [03:30:05 29-08-2023] INR 921 debited to vendor.968@oksbi,-921.0,debit,individual,shopping,unknown,brother - [03:30:05 29-08-2023] inr 921 debited to vendor.968@oksbi,Brother,
"Brother - [05:20:14 29-08-2023] INR 536 debited to shop.869@okaxis
",Brother - [05:20:14 29-08-2023] INR 536 debited to shop.869@okaxis,-536.0,debit,merchant,shopping,unknown,brother - [05:20:14 29-08-2023] inr 536 debited to shop.869@okaxis,Brother,
"Brother - [05:45:36 29-08-2023] INR 1196 debited to mart.156@okhdfc
",Brother - [05:45:36 29-08-2023] INR 1196 debited to mart.156@okhdfc,-1196.0,debit,individual,shopping,unknown,brother - [05:45:36 29-08-2023] inr 1196 debited to mart.156@okhdfc,Brother,
"Brother - [07:53:32 28-09-2023] INR 809 debited to shop.869@okaxis
",Brother - [07:53:32 28-09-2023] INR 809 debited to shop.869@okaxis,-809.0,debit,merchant,shopping,unknown,brother - [07:53:32 28-09-2023] inr 809 debited to shop.869@okaxis,Brother,
"Brother - [17:26:45 28-09-2023] INR 965 debited to vendor.968@oksbi
",Brother - [17:26:45 28-09-2023] INR 965 debited to vendor.968@oksbi,-965.0,debit,merchant,shopping,unknown,brother - [17:26:45 28-09-2023] inr 965 debited to vendor.968@oksbi,Brother,
"Brother - [17:46:19 28-09-2023] INR 1056 debited to mart.156@okhdfc
",Brother - [17:46:19 28-09-2023] INR 1056 debited to mart.156@okhdfc,-1056.0,debit,individual,other,unknown,brother - [17:46:19 28-09-2023] inr 1056 debited to mart.156@okhdfc,Brother,
"Brother - [07:10:27 28-10-2023] INR 768 debited to shop.869@okaxis
",Brother - [07:10:27 28-10-2023] INR 768 debited to shop.869@okaxis,-768.0,debit,merchant,shopping,unknown,brother - [07:10:27 28-10-2023] inr 768 debited to shop.869@okaxis,Brother,
"Brother - [13:53:22 28-10-2023] INR 1180 debited to mart.156@okhdfc
",Brother - [13:53:22 28-10-2023] INR 1180 debited to mart.156@okhdfc,-1180.0,debit,individual,shopping,unknown,brother - [13:53:22 28-10-2023] inr 1180 debited to mart.156@okhdfc,Brother,
"Brother - [14:16:25 28-10-2023] INR 952 debited to vendor.968@oksbi
",Brother - [14:16:25 28-10-2023] INR 952 debited to vendor.968@oksbi,-952.0,debit,individual,shopping,unknown,brother - [14:16:25 28-10-2023] inr 952 debited to vendor.968@oksbi,Brother,
"Brother - [01:58:21 27-11-2023] INR 1016 debited to mart.156@okhdfc
",Brother - [01:58:21 27-11-2023] INR 1016 debited to mart.156@okhdfc,-1016.0,debit,individual,entertainment,unknown,brother - [01:58:21 27-11-2023] inr 1016 debited to mart.156@okhdfc,Brother,
"Brother - [12:07:58 27-11-2023] INR 835 debited to shop.869@okaxis
",Brother - [12:07:58 27-11-2023] INR 835 debited to shop.869@okaxis,-835.0,debit,merchant,shopping,unknown,brother - [12:07:58 27-11-2023] inr 835 debited to shop.869@okaxis,Brother,
"Brother - [17:27:47 27-11-2023] INR 997 debited to vendor.968@oksbi
",Brother - [17:27:47 27-11-2023] INR 997 debited to vendor.968@oksbi,-997.0,debit,individual,shopping,unknown,brother - [17:27:47 27-11-2023] inr 997 debited to vendor.968@oksbi,Brother,
"Brother - [08:00:55 27-12-2023] INR 892 debited to mart.156@okhdfc
",Brother - [08:00:55 27-12-2023] INR 892 debited to mart.156@okhdfc,-892.0,debit,individual,shopping,unknown,brother - [08:00:55 27-12-2023] inr 892 debited to mart.156@okhdfc,Brother,
"Brother - [11:15:53 27-12-2023] INR 760 debited to shop.869@okaxis
",Brother - [11:15:53 27-12-2023] INR 760 debited to shop.869@okaxis,-760.0,debit,merchant,shopping,unknown,brother - [11:15:53 27-12-2023] inr 760 debited to shop.869@okaxis,Brother,
"Brother - [17:51:23 27-12-2023] INR 615 debited to vendor.968@oksbi
",Brother - [17:51:23 27-12-2023] INR 615 debited to vendor.968@oksbi,-615.0,debit,individual,shopping,unknown,brother - [17:51:23 27-12-2023] inr 615 debited to vendor.968@oksbi,Brother,
"Brother - [02:19:54 26-01-2024] INR 1118 debited to mart.156@okhdfc
",Brother - [02:19:54 26-01-2024] INR 1118 debited to mart.156@okhdfc,-1118.0,debit,individual,entertainment,unknown,brother - [02:19:54 26-01-2024] inr 1118 debited to mart.156@okhdfc,Brother,
"Brother - [13:51:15 26-01-2024] INR 836 debited to vendor.968@oksbi
",Brother - [13:51:15 26-01-2024] INR 836 debited to vendor.968@oksbi,-836.0,debit,individual,shopping,unknown,brother - [13:51:15 26-01-2024] inr 836 debited to vendor.968@oksbi,Brother,
"Brother - [17:15:19 26-01-2024] INR 759 debited to shop.869@okaxis
",Brother - [17:15:19 26-01-2024] INR 759 debited to shop.869@okaxis,-759.0,debit,merchant,shopping,unknown,brother - [17:15:19 26-01-2024] inr 759 debited to shop.869@okaxis,Brother,
"Brother - [00:13:31 25-02-2024] INR 822 debited to mart.156@okhdfc
",Brother - [00:13:31 25-02-2024] INR 822 debited to mart.156@okhdfc,-822.0,debit,individual,shopping,unknown,brother - [00:13:31 25-02-2024] inr 822 debited to mart.156@okhdfc,Brother,
"Brother - [11:03:05 25-02-2024] INR 648 debited to vendor.968@oksbi
",Brother - [11:03:05 25-02-2024] INR 648 debited to vendor.968@oksbi,-648.0,debit,individual,shopping,unknown,brother - [11:03:05 25-02-2024] inr 648 debited to vendor.968@oksbi,Brother,
"Brother - [11:55:31 25-02-2024] INR 655 debited to shop.869@okaxis
",Brother - [11:55:31 25-02-2024] INR 655 debited to shop.869@okaxis,-655.0,debit,merchant,shopping,unknown,brother - [11:55:31 25-02-2024] inr 655 debited to shop.869@okaxis,Brother,
"Brother - [12:36:45 26-03-2024] INR 1108 debited to mart.156@okhdfc
",Brother - [12:36:45 26-03-2024] INR 1108 debited to mart.156@okhdfc,-1108.0,debit,individual,entertainment,unknown,brother - [12:36:45 26-03-2024] inr 1108 debited to mart.156@okhdfc,Brother,
"Brother - [21:21:28 26-03-2024] INR 796 debited to vendor.968@oksbi
",Brother - [21:21:28 26-03-2024] INR 796 debited to vendor.968@oksbi,-796.0,debit,merchant,shopping,unknown,brother - [21:21:28 26-03-2024] inr 796 debited to vendor.968@oksbi,Brother,
"Brother - [22:18:15 26-03-2024] INR 553 debited to shop.869@okaxis
",Brother - [22:18:15 26-03-2024] INR 553 debited to shop.869@okaxis,-553.0,debit,merchant,shopping,unknown,brother - [22:18:15 26-03-2024] inr 553 debited to shop.869@okaxis,Brother,
"Brother - [21:10:47 25-04-2024] INR 584 debited to vendor.968@oksbi
",Brother - [21:10:47 25-04-2024] INR 584 debited to vendor.968@oksbi,-584.0,debit,individual,shopping,unknown,brother - [21:10:47 25-04-2024] inr 584 debited to vendor.968@oksbi,Brother,
"Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc
",Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc,-836.0,debit,merchant,shopping,HDFC Bank,mart.156,Brother,"[{'title': 'Exxon- HANDY MART 156 - Gas station in JACKSONVILLE', 'snippet': 'Exxon gas station in 3495 WESTERN BLVD, JACKSONVILLE, NC. Find the nearest gas station on ExxonMobil official website.'}, {'title': '[PDF] quick-reference-booklet-merchant-edition.pdf - Mastercard', 'snippet': 'Detailed card acceptor business code (MCC) information is organized in several ways. • Card acceptor business code (MCC) criteria.'}]"
"Brother - [00:47:14 02-12-2022] INR 851 debited to vendor.968@oksbi
",Brother - [00:47:14 02-12-2022] INR 851 debited to vendor.968@oksbi,-851.0,debit,merchant,shopping,State Bank of India,vendor,Brother,"[{'title': '12 Types of Vendors (Plus Tips on How To Find Them) - Indeed', 'snippet': '12 types of vendors · 1. Wholesale company · 2. Transportation company · 3. Software company · 4. Shipping company · 5. Marketing company · 6.'}, {'title': 'What Is a Vendor? Definition, Types, and Example - Investopedia', 'snippet': 'A vendor is an entity that sells something. It can sell services, products, or a combination of the two to businesses and consumers.'}]"
"Brother - [16:45:02 02-12-2022] INR 669 debited to shop.869@okaxis
",Brother - [16:45:02 02-12-2022] INR 669 debited to shop.869@okaxis,-0.0,unknown,unknown,misc,Axis Bank,shop,Brother,"[{'title': 'What is Retail Business: Types and Ideas | SendPulse', 'snippet': 'A retail business is the sale of items and services in small quantities to customers in-store or online. Grocery, clothing, and drug stores ...'}, {'title': 'What is a Retail Store? Different Types of Retail Businesses You ...', 'snippet': 'Think of department stores where you can buy clothes, shoes, undergarments, towels, toys, and even home decors.'}]"
"Brother - [21:34:47 03-12-2022] INR 964 debited to shop.861@okicici
",Brother - [21:34:47 03-12-2022] INR 964 debited to shop.861@okicici,-0.0,unknown,unknown,misc,unknown,Brother - [21:34:47 03-12-2022] INR 964 debited to shop.861@okicici,Brother,
"Brother - [08:27:28 04-12-2022] INR 1064 debited to seller.113@okhdfc
",Brother - [08:27:28 04-12-2022] INR 1064 debited to seller.113@okhdfc,-0.0,unknown,unknown,misc,unknown,Brother - [08:27:28 04-12-2022] INR 1064 debited to seller.113@okhdfc,Brother,
"Brother - [13:14:28 05-12-2022] INR 16594 debited to seller.210@paytm
",Brother - [13:14:28 05-12-2022] INR 16594 debited to seller.210@paytm,-16594.0,debit,individual,transfer,unknown,Brother - [13:14:28 05-12-2022] INR 16594 debited to seller.210@paytm,Brother,
"Brother - [22:00:27 05-12-2022] INR 4385 credited from vendor.253@oksbi
",Brother - [22:00:27 05-12-2022] INR 4385 credited from vendor.253@oksbi,0.0,unknown,unknown,misc,unknown,Brother - [22:00:27 05-12-2022] INR 4385 credited from vendor.253@oksbi,Brother,
"Shop Owner - [07:41:42 02-12-2022] INR 823 debited to mart.156@okhdfc
",Shop Owner - [07:41:42 02-12-2022] INR 823 debited to mart.156@okhdfc,-823.0,debit,merchant,shopping,HDFC Bank,Shop Owner,Shop,"[{'title': '10 Types of Business Ownerships (With Pros and Cons) | Indeed.com', 'snippet': '10 common types of business ownership · 1. Sole proprietorship · 2. Partnership · 3. Limited liability company · 4. Private corporation · 5.'}, {'title': '6 Types of Business Ownership (And How to Know Which is Right ...', 'snippet': '6 Types of Business Ownership (And How to Know Which is Right for You) · Sole Proprietorship · Limited Liability Company (LLC) · Partnerships · Corporations.'}]"
"Shop Owner - [09:13:42 02-12-2022] INR 733 debited to vendor.249@okicici
",Shop Owner - [09:13:42 02-12-2022] INR 733 debited to vendor.249@okicici,-733.0,debit,merchant,shopping,ICICI Bank,Shop Owner,Shop,"[{'title': '10 Types of Business Ownerships (With Pros and Cons) | Indeed.com', 'snippet': '10 common types of business ownership · 1. Sole proprietorship · 2. Partnership · 3. Limited liability company · 4. Private corporation · 5.'}, {'title': 'Choose a business structure | U.S. Small Business Administration', 'snippet': 'Sole proprietorships can be a good choice for low-risk businesses and owners who want to test their business idea before forming a more formal business.'}]"
"Shop Owner - [17:15:42 02-12-2022] INR 771 debited to shop.869@okaxis
",Shop Owner - [17:15:42 02-12-2022] INR 771 debited to shop.869@okaxis,-771.0,debit,merchant,shopping,okaxis,Shop Owner,Shop,"[{'title': '10 Types of Business Ownerships (With Pros and Cons) | Indeed.com', 'snippet': '10 common types of business ownership · 1. Sole proprietorship · 2. Partnership · 3. Limited liability company · 4. Private corporation · 5.'}, {'title': 'Starting a Business – Entity Types - California Secretary of State', 'snippet': 'Corporation · Limited Liability Company · Limited Partnership · General Partnership · Limited Liability Partnership · Sole Proprietorship · Frequently Asked Questions.'}]"
"Shop Owner - [01:45:12 03-12-2022] INR 840 debited to mart.518@oksbi
",Shop Owner - [01:45:12 03-12-2022] INR 840 debited to mart.518@oksbi,-840.0,debit,merchant,shopping,oksbi,Shop Owner,Shop,"[{'title': '10 Types of Business Ownerships (With Pros and Cons) | Indeed.com', 'snippet': '10 common types of business ownership · 1. Sole proprietorship · 2. Partnership · 3. Limited liability company · 4. Private corporation · 5.'}, {'title': '6 Types of Business Ownership (And How to Know Which is Right ...', 'snippet': '6 Types of Business Ownership (And How to Know Which is Right for You) · Sole Proprietorship · Limited Liability Company (LLC) · Partnerships · Corporations.'}]"
"Shop Owner - [05:38:05 03-12-2022] INR 1041 debited to mart.815@okicici
",Shop Owner - [05:38:05 03-12-2022] INR 1041 debited to mart.815@okicici,-1041.0,debit,merchant,shopping,ICICI Bank,Shop Owner,Shop,"[{'title': '10 Types of Business Ownerships (With Pros and Cons) | Indeed.com', 'snippet': '10 common types of business ownership · 1. Sole proprietorship · 2. Partnership · 3. Limited liability company · 4. Private corporation · 5.'}, {'title': 'Business structures | Internal Revenue Service', 'snippet': 'The most common forms of business are the sole proprietorship, partnership, corporation, and S corporation.'}]"
"Shop Owner - [19:01:22 04-12-2022] INR 16831 credited from seller.177@okaxis
",Shop Owner - [19:01:22 04-12-2022] INR 16831 credited from seller.177@okaxis,16831.0,credit,merchant,shopping,okaxis,Shop Owner,Shop,"[{'title': '10 Types of Business Ownerships (With Pros and Cons) | Indeed.com', 'snippet': '10 common types of business ownership · 1. Sole proprietorship · 2. Partnership · 3. Limited liability company · 4. Private corporation · 5.'}, {'title': 'Step by Step Guide to Starting a Business', 'snippet': 'They are Sole Proprietorships, General and Limited Partnerships, Limited Liability Partnerships (LLP), Limited Liability Companies (LLC), ""S"" Corporations and "" ...'}]"
"Shop Owner - [20:00:49 05-12-2022] INR 773 debited to mart.518@oksbi
",Shop Owner - [20:00:49 05-12-2022] INR 773 debited to mart.518@oksbi,-773.0,debit,merchant,shopping,oksbi,Shop Owner,Shop,"[{'title': '10 Types of Business Ownerships (With Pros and Cons) | Indeed.com', 'snippet': '10 common types of business ownership · 1. Sole proprietorship · 2. Partnership · 3. Limited liability company · 4. Private corporation · 5.'}, {'title': 'Choose a business structure | U.S. Small Business Administration', 'snippet': 'Sole proprietorships can be a good choice for low-risk businesses and owners who want to test their business idea before forming a more formal business.'}]"
"Shop Owner - [22:33:18 06-12-2022] INR 541 debited to mart.296@okaxis
",Shop Owner - [22:33:18 06-12-2022] INR 541 debited to mart.296@okaxis,-541.0,debit,merchant,shopping,okaxis,Shop Owner,Shop,"[{'title': '10 Types of Business Ownerships (With Pros and Cons) | Indeed.com', 'snippet': '10 common types of business ownership · 1. Sole proprietorship · 2. Partnership · 3. Limited liability company · 4. Private corporation · 5.'}, {'title': 'Choose a business structure | U.S. Small Business Administration', 'snippet': 'Sole proprietorships can be a good choice for low-risk businesses and owners who want to test their business idea before forming a more formal business.'}]"
